id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19188924,President of Iceland,Q189,Q189,,Q212011,1944-06-17,,,,President of Iceland
Q19190022,Prime Minister of Iceland,Q189,Q189,,Q217724,1904-02-01,,,,Prime Minister of Iceland
Q55374599,Minister of Agriculture of Iceland,Q189,Q189,,,,,,,
Q55374811,Minister of Commerce of Iceland,Q189,Q189,,,,,,,
Q17013920,Minister of Communications,Q189,,,,,,,,Minister of Transport and Local Government (Iceland)
Q55374546,Minister of Ecclesiastical Affairs of Iceland,Q189,Q189,,,,,,,
Q55374037,Minister of Economy and Commerce of Iceland,Q189,Q189,,,,,,,
Q16422303,Minister of Education,Q189,Q189,,,,,,,
Q109799127,Minister of Education and Children's Affairs,Q189,Q189,,,,,,,
Q12351697,"Minister of Education, Science and Culture",Q189,Q189,,,,,,,"Minister of Education, Science and Culture (Iceland)"
Q55373783,Minister of Employment of Iceland,Q189,Q189,,,,,,,
Q55374633,Minister of Energy of Iceland,Q189,Q189,,,,,,,
Q55374747,Minister for the Environment,Q189,Q189,,,,,,,
Q16429370,"Minister for the Environment, Energy and Climate",Q189,Q189,,,,,,,Minister for the Environment and Natural Resources (Iceland)
Q55376798,Minister of Finance of Iceland,Q189,Q189,,,,,,,
Q17278719,Minister of Finance and Economic Affairs,Q189,Q189,,,,,,,
Q55374777,Minister for Foreign Affairs and International Development Cooperation,Q189,Q189,,Q1829531,,,,,Minister for Foreign Affairs (Iceland)
Q55374397,Minister of Health,Q189,Q189,,,,,,,
Q16429268,Minister of Industry of Iceland,Q189,Q189,,,,,,,
Q55374451,Minister of Industry and Commerce of Iceland,Q189,Q189,,,,,,,
Q109799103,Minister of Infrastructure,Q189,Q189,,,,,,,
Q20558616,Minister of the Interior of Iceland,Q189,Q189,,,,,,,
Q17013941,Minister of Justice,Q189,Q189,,,,,,,Minister of Justice (Iceland)
Q55373978,Minister of Justice and Human Rights of Iceland,Q189,Q189,,,,,,,
Q6865928,Minister for Nordic Cooperation,Q189,Q189,,,2009,,,,Minister for Nordic Cooperation (Iceland)
Q109799141,"Minister of Science, Industry and Innovation",Q189,Q189,,,,,,,
Q17051931,Minister of Social Affairs,Q189,Q189,,,,,,,Minister of Social Affairs (Iceland)
Q60606541,Minister of Social Affairs and Children,Q189,Q189,,,2019-01-01,,,,
Q55374312,Minister of Social Affairs and Equality,Q189,Q189,,,,,,,
Q55374269,Minister of Social Affairs and Housing,Q189,Q189,,,,,,,
Q109799167,Minister of Social Affairs and the Labour Market,Q189,Q189,,,,,,,
Q55374723,Minister of Social Security of Iceland,Q189,Q189,,,,,,,
Q6866390,Minister of Statistics of Iceland,Q189,Q189,,,,,,,Minister of Statistics Iceland
Q55374178,"Minister of Tourism, Industry and Innovation",Q189,Q189,,,,,,,
Q109799248,"Minister of Tourism, Trade and Culture",Q189,Q189,,,,,,,
Q31749478,Minister of Transport,Q189,Q189,,,,,,,
Q6866420,Minister of Welfare,Q189,Q189,,,,,,,Minister of Welfare (Iceland)
Q16424173,Speaker of the Althing,Q189,,,,,,,,List of speakers of the Parliament of Iceland
Q109471313,Governor of the Central Bank of Iceland,Q189,,,,,,,,
Q109471385,Director General of the Icelandic Coast Guard,Q189,,,,,,,,
Q15966528,Mayor of Reykjavík,Q189,Q1764,,Q917364,1908,,,,
