item,itemLabel,startDate,endDate,psid
Q1151234,Dagur B. Eggertsson,2014-06-16,,Q1151234-560072E1-D766-4EFB-A071-CA4AC6ED5B8C
Q1151234,Dagur B. Eggertsson,2007-10-16,2008-01-24,Q1151234-9A9188C7-5202-4692-BFB5-161E1A9077A8
Q1525047,Vilhjálmur Þ. Vilhjálmsson,2006-06-13,2007-10-16,Q1525047-A54DDBE0-C173-4839-AE6C-4BF7C6896800
Q16419390,Árni Sigfússon,1994-03-17,1994-06-13,Q16419390-DDD42148-D445-46B5-AD4A-5FC7A2FE7A34
Q16422899,Egill Skúli Ingibergsson,1978-08-15,1982-05-27,Q16422899-860AAAC0-BAAA-4ABF-964C-DB899BB1253A
Q1683986,Markús Örn Antonsson,1991-07-16,1994-03-17,Q1683986-EAEEDF5F-B907-4CC2-835A-4E2DA85709AA
Q2257073,Ólafur F. Magnússon,2008-01-24,2008-08-21,Q2257073-b417ae78-421d-c42f-df3a-e0e4c327d310
Q2276642,Hanna Birna Kristjánsdóttir,2008-08-21,2010-06-15,Q2276642-5BE70C7B-0EE0-40AB-8570-276C8E61594D
Q262299,Ingibjörg Sólrún Gísladóttir,1994-06-13,2003-02-01,Q262299-8CB22B97-F56D-40B9-9EDE-E825C0F62B35
Q298030,Davíð Oddsson,1982-05-27,1991-07-16,Q298030-EFF8B967-25BB-4CF9-904A-DBFEF95AA6F0
Q3482449,Þórólfur Árnason,2003-02-01,2004-11-30,Q3482449-8cb8fcba-4827-1620-c152-d2332fee0c40
Q438076,Auður Auðuns,1959-11-19,1960-10-06,Q438076-D3D35CBD-976B-43CF-B403-CA641EA1FD03
Q445921,Jón Gnarr,2010-06-15,2014-06-16,Q445921-e61290c7-410b-f639-551e-b74f55f56e0c
Q467461,Steinunn Valdís Óskarsdóttir,2004-11-30,2006-06-13,Q467461-F45CC3CD-B12F-4329-9780-CD1C3348C2B6
Q4916259,Birgir Ísleifur Gunnarsson,1972-12-01,1978-08-15,Q4916259-2A3BF9DA-5C77-4C63-B915-6EFC2FD7A003
Q561818,Bjarni Benediktsson,1940-11-26,1947-02-10,Q561818-D69093C1-78D4-4B79-8716-854F26D34A88
Q562079,Jón Þorláksson,1932-12-30,1935-03-20,Q562079-AC2220CD-34B9-4181-AC41-4F72103D7D5B
Q962090,Geir Hallgrímsson,1959-11-19,1972-12-01,Q962090-C1D406E1-08C5-4C13-81EF-C7182AC13101
Q984037,Gunnar Thoroddsen,1947-02-10,1959-11-19,Q984037-BC874E56-6552-446F-BA9E-4640E2B8E436
