item,itemLabel,position,positionLabel,start,psid
Q1557735,Guðlaugur Þór Þórðarson,Q16429370,"Minister for the Environment, Energy and Climate",2021-11-28,Q1557735-850D9617-BEBD-4D92-85B4-C643D93E960F
Q1715048,Jón Gunnarsson,Q20558616,Minister of the Interior of Iceland,2021-11-28,Q1715048-6CA82662-6AEC-423D-9465-E111B29C1DF9
Q201075,Sigurður Ingi Jóhannsson,Q109799103,Minister of Infrastructure,2021-11-28,Q201075-A2221458-6124-44EC-A1A7-386226B823CA
Q23753778,Lilja Dögg Alfreðsdóttir,Q109799248,"Minister of Tourism, Trade and Culture",2021-11-28,Q23753778-B74C2C8D-CF46-4741-A297-83007430AB60
Q252565,Ásmundur Einar Daðason,Q109799127,Minister of Education and Children's Affairs,2021-11-28,Q252565-78A87B2F-75DB-4D9E-80ED-8467B899ADBA
Q27988721,Áslaug Arna Sigurbjörnsdóttir,Q109799141,"Minister of Science, Industry and Innovation",2021-11-28,Q27988721-7B3C4529-56B5-492F-AE32-5D0086DE80BB
Q28734624,Þórdís Kolbrún R. Gylfadóttir,Q55374777,Minister for Foreign Affairs and International Development Cooperation,2021-11-28,Q28734624-EC55A6EE-576D-421A-8081-D7127B4211BE
Q3481103,Willum Þór Þórsson,Q55374397,Minister of Health,2021-11-28,Q3481103-336B73C1-3D74-41C2-A9E7-CA2C9EAFAA6F
Q438056,Svandís Svavarsdóttir,Q17278723,Minister of Fisheries and Agriculture,2021-11-28,Q438056-9F4863FE-7EF8-4ED2-946A-781D2738B643
Q44216756,Guðmundur Ingi Guðbrandsson,Q109799167,Minister of Social Affairs and the Labour Market,2021-11-28,Q44216756-75C10A01-7F02-4367-9FE8-BB1C167E113B
Q467464,Katrín Jakobsdóttir,Q19190022,Prime Minister of Iceland,2017-11-30,Q467464-de2b05e2-48e2-e0af-3952-4103744daf82
Q879376,Bjarni Benediktsson,Q17278719,Minister of Finance and Economic Affairs,2017-11-30,Q879376-09318770-4406-58e4-e869-fecb521a18e8
